shipment_id,order_id,status,shipped_date,delivery_date
SHIP-00001,1,Delivered,2026-06-27 16:50:02,2026-07-05 16:50:02
SHIP-00002,2,Delivered,2026-01-24 18:52:14,2026-02-01 18:52:14
SHIP-00003,3,Delivered,2025-09-27 11:45:07,2025-10-03 11:45:07
SHIP-00004,4,In Transit,2026-04-19 07:56:08,
SHIP-00005,5,Delivered,2025-09-21 00:17:23,2025-09-24 00:17:23
SHIP-00006,6,Cancelled,2025-10-25 22:11:44,
SHIP-00007,7,Delivered,2026-03-26 00:04:56,2026-03-29 00:04:56
SHIP-00008,8,Delivered,2025-12-20 09:42:53,2025-12-28 09:42:53
SHIP-00009,9,In Transit,2026-08-29 10:48:47,
SHIP-00010,10,Cancelled,2025-10-14 16:41:00,
SHIP-00011,11,Delivered,2026-06-06 15:17:35,2026-06-13 15:17:35
SHIP-00012,12,Delivered,2026-04-10 21:12:02,2026-04-14 21:12:02
SHIP-00013,13,Delivered,2026-06-16 05:48:35,2026-06-22 05:48:35
SHIP-00014,14,Delivered,2025-11-21 20:41:05,2025-11-29 20:41:05
SHIP-00015,15,Delivered,2026-03-10 07:06:39,2026-03-14 07:06:39
SHIP-00016,16,Cancelled,2026-02-11 23:28:02,
SHIP-00017,17,Delivered,2026-02-09 03:09:05,2026-02-17 03:09:05
SHIP-00018,18,Cancelled,2026-07-11 14:22:48,
SHIP-00019,19,Delivered,2026-08-29 00:44:31,2026-09-06 00:44:31
SHIP-00020,20,In Transit,2025-12-20 23:15:19,
SHIP-00021,21,Delivered,2026-04-16 06:08:31,2026-04-22 06:08:31
SHIP-00022,22,Delivered,2026-04-11 02:14:37,2026-04-16 02:14:37
SHIP-00023,23,Cancelled,2026-05-29 17:48:38,
SHIP-00024,24,Delivered,2026-08-12 12:42:49,2026-08-16 12:42:49
SHIP-00025,25,Cancelled,2025-11-15 07:47:04,
SHIP-00026,26,Delivered,2025-11-16 12:09:42,2025-11-18 12:09:42
SHIP-00027,27,Cancelled,2026-04-29 15:31:12,
SHIP-00028,28,Delivered,2025-10-28 19:05:25,2025-11-03 19:05:25
SHIP-00029,29,Delivered,2025-11-03 21:58:24,2025-11-11 21:58:24
SHIP-00030,30,Delivered,2025-09-27 20:21:58,2025-09-29 20:21:58
SHIP-00031,31,In Transit,2025-09-02 09:49:13,
SHIP-00032,32,Delivered,2026-02-11 23:22:22,2026-02-13 23:22:22
SHIP-00033,33,Delivered,2026-04-05 07:34:19,2026-04-08 07:34:19
SHIP-00034,34,In Transit,2025-12-15 19:28:28,
SHIP-00035,35,Delivered,2025-11-23 23:25:50,2025-11-28 23:25:50
SHIP-00036,36,Delivered,2026-05-16 15:22:14,2026-05-24 15:22:14
SHIP-00037,37,In Transit,2026-05-16 04:35:08,
SHIP-00038,38,Delivered,2026-02-13 06:17:42,2026-02-18 06:17:42
SHIP-00039,39,In Transit,2026-05-10 11:49:00,
SHIP-00040,40,Delivered,2026-08-04 21:08:52,2026-08-07 21:08:52
SHIP-00041,41,Cancelled,2026-06-15 04:16:37,
SHIP-00042,42,Delivered,2026-04-17 17:28:26,2026-04-19 17:28:26
SHIP-00043,43,Delivered,2026-04-29 22:08:14,2026-05-05 22:08:14
SHIP-00044,44,Cancelled,2026-08-07 10:40:45,
SHIP-00045,45,In Transit,2026-02-02 17:01:54,
SHIP-00046,46,Cancelled,2026-03-18 07:52:07,
SHIP-00047,47,In Transit,2026-04-24 23:22:33,
SHIP-00048,48,Delivered,2026-07-30 05:16:56,2026-08-02 05:16:56
SHIP-00049,49,Delivered,2026-06-29 08:24:57,2026-07-04 08:24:57
SHIP-00050,50,In Transit,2025-09-27 12:19:37,
SHIP-00051,51,Delivered,2025-10-31 00:48:17,2025-11-05 00:48:17
SHIP-00052,52,Delivered,2025-12-21 18:49:00,2025-12-27 18:49:00
SHIP-00053,53,Delivered,2026-05-31 23:32:57,2026-06-02 23:32:57
SHIP-00054,54,In Transit,2026-03-27 07:53:52,
SHIP-00055,55,Cancelled,2025-12-14 20:15:24,
SHIP-00056,56,Delivered,2025-10-15 20:25:11,2025-10-19 20:25:11
SHIP-00057,57,Delivered,2026-05-09 23:09:05,2026-05-13 23:09:05
SHIP-00058,58,Delivered,2026-05-15 00:03:47,2026-05-22 00:03:47
SHIP-00059,59,Delivered,2026-08-11 17:38:21,2026-08-19 17:38:21
SHIP-00060,60,Delivered,2026-03-03 05:23:04,2026-03-05 05:23:04
SHIP-00061,61,Delivered,2026-02-27 18:51:21,2026-03-02 18:51:21
SHIP-00062,62,Cancelled,2025-09-30 19:29:58,
SHIP-00063,63,Cancelled,2025-09-14 23:46:32,
SHIP-00064,64,In Transit,2026-02-05 05:25:30,
SHIP-00065,65,Delivered,2025-12-28 03:45:33,2026-01-01 03:45:33
SHIP-00066,66,Delivered,2025-11-30 21:01:49,2025-12-08 21:01:49
SHIP-00067,67,Cancelled,2025-10-04 18:54:54,
SHIP-00068,68,Delivered,2026-08-17 18:14:50,2026-08-25 18:14:50
SHIP-00069,69,Delivered,2026-07-02 18:10:41,2026-07-09 18:10:41
SHIP-00070,70,Delivered,2026-03-30 12:25:22,2026-04-03 12:25:22
SHIP-00071,71,In Transit,2026-08-13 16:43:47,
SHIP-00072,72,Delivered,2026-08-31 12:22:38,2026-09-08 12:22:38
SHIP-00073,73,Delivered,2026-05-03 23:25:28,2026-05-05 23:25:28
SHIP-00074,74,Delivered,2025-12-08 20:50:04,2025-12-16 20:50:04
SHIP-00075,75,Delivered,2025-09-16 03:01:36,2025-09-23 03:01:36
SHIP-00076,76,Delivered,2026-06-04 15:38:11,2026-06-06 15:38:11
SHIP-00077,77,Delivered,2026-02-20 06:39:46,2026-02-22 06:39:46
SHIP-00078,78,In Transit,2026-04-27 09:20:28,
SHIP-00079,79,In Transit,2026-08-01 00:26:23,
SHIP-00080,80,In Transit,2025-11-05 17:15:21,
SHIP-00081,81,Delivered,2026-04-02 05:13:28,2026-04-07 05:13:28
SHIP-00082,82,Cancelled,2026-04-21 06:44:09,
SHIP-00083,83,Delivered,2026-02-27 00:42:57,2026-03-05 00:42:57
SHIP-00084,84,In Transit,2025-10-04 18:10:28,
SHIP-00085,85,Delivered,2026-01-05 12:30:31,2026-01-10 12:30:31
SHIP-00086,86,Cancelled,2025-12-31 04:04:00,
SHIP-00087,87,Delivered,2026-05-03 04:35:42,2026-05-07 04:35:42
SHIP-00088,88,In Transit,2026-07-11 17:02:52,
SHIP-00089,89,Cancelled,2025-12-29 21:20:43,
SHIP-00090,90,Delivered,2026-05-11 18:56:33,2026-05-15 18:56:33
SHIP-00091,91,Delivered,2025-12-15 16:48:48,2025-12-23 16:48:48
SHIP-00092,92,Delivered,2026-08-12 15:42:18,2026-08-20 15:42:18
SHIP-00093,93,Delivered,2026-06-24 13:53:24,2026-06-29 13:53:24
SHIP-00094,94,In Transit,2026-03-20 08:22:49,
SHIP-00095,95,In Transit,2026-02-13 13:15:37,
SHIP-00096,96,Delivered,2025-12-24 07:20:50,2026-01-01 07:20:50
SHIP-00097,97,Delivered,2025-12-28 12:06:21,2025-12-31 12:06:21
SHIP-00098,98,Cancelled,2026-08-20 18:46:19,
SHIP-00099,99,In Transit,2026-01-26 01:16:01,
SHIP-00100,100,In Transit,2026-03-08 09:11:34,
SHIP-00101,101,Cancelled,2026-08-28 07:58:53,
SHIP-00102,102,In Transit,2026-04-29 15:15:31,
SHIP-00103,103,Cancelled,2026-03-18 14:36:38,
SHIP-00104,104,In Transit,2026-01-30 08:47:40,
SHIP-00105,105,Delivered,2025-11-07 22:40:08,2025-11-11 22:40:08
SHIP-00106,106,Delivered,2026-01-10 13:38:11,2026-01-13 13:38:11
SHIP-00107,107,Delivered,2026-06-03 17:09:52,2026-06-05 17:09:52
SHIP-00108,108,In Transit,2026-04-17 20:32:54,
SHIP-00109,109,In Transit,2026-06-06 00:15:36,
SHIP-00110,110,Cancelled,2025-11-13 18:42:29,
SHIP-00111,111,Delivered,2026-03-21 00:41:35,2026-03-29 00:41:35
SHIP-00112,112,Cancelled,2026-08-06 06:07:20,
SHIP-00113,113,In Transit,2026-02-07 10:47:09,
SHIP-00114,114,Delivered,2026-05-14 11:03:27,2026-05-19 11:03:27
SHIP-00115,115,Delivered,2025-10-15 18:45:26,2025-10-23 18:45:26
SHIP-00116,116,In Transit,2026-08-21 20:44:13,
SHIP-00117,117,Delivered,2026-04-10 19:35:18,2026-04-17 19:35:18
SHIP-00118,118,Delivered,2025-11-27 19:59:22,2025-11-29 19:59:22
SHIP-00119,119,In Transit,2025-10-28 06:40:13,
SHIP-00120,120,Delivered,2026-03-21 14:53:17,2026-03-29 14:53:17
SHIP-00121,121,In Transit,2026-03-21 03:16:07,
SHIP-00122,122,Delivered,2025-10-04 11:24:54,2025-10-07 11:24:54
SHIP-00123,123,Delivered,2026-08-28 20:15:12,2026-08-31 20:15:12
SHIP-00124,124,Delivered,2026-07-30 20:53:23,2026-08-02 20:53:23
SHIP-00125,125,In Transit,2026-02-15 23:18:25,
SHIP-00126,126,Delivered,2025-10-14 08:02:44,2025-10-20 08:02:44
SHIP-00127,127,Delivered,2026-07-01 08:43:58,2026-07-05 08:43:58
SHIP-00128,128,Cancelled,2026-03-02 11:00:20,
SHIP-00129,129,In Transit,2026-05-21 03:56:17,
SHIP-00130,130,Delivered,2026-03-05 07:00:55,2026-03-12 07:00:55
SHIP-00131,131,Cancelled,2025-12-09 07:08:33,
SHIP-00132,132,Delivered,2026-07-03 07:21:19,2026-07-05 07:21:19
SHIP-00133,133,In Transit,2026-08-24 10:57:17,
SHIP-00134,134,In Transit,2025-11-29 10:51:07,
SHIP-00135,135,Cancelled,2026-03-20 18:37:22,
SHIP-00136,136,In Transit,2026-01-19 12:47:18,
SHIP-00137,137,Delivered,2026-08-04 03:14:25,2026-08-12 03:14:25
SHIP-00138,138,Delivered,2026-03-05 01:28:59,2026-03-10 01:28:59
SHIP-00139,139,Delivered,2026-07-19 14:19:42,2026-07-21 14:19:42
SHIP-00140,140,In Transit,2026-07-13 00:13:05,
SHIP-00141,141,Delivered,2025-12-11 07:53:02,2025-12-15 07:53:02
SHIP-00142,142,Cancelled,2026-06-16 23:22:12,
SHIP-00143,143,Delivered,2026-01-29 23:39:04,2026-02-01 23:39:04
SHIP-00144,144,In Transit,2026-08-07 15:45:45,
SHIP-00145,145,Delivered,2026-03-05 21:04:19,2026-03-07 21:04:19
SHIP-00146,146,Delivered,2026-06-27 03:06:19,2026-07-04 03:06:19
SHIP-00147,147,In Transit,2025-12-13 17:39:51,
SHIP-00148,148,In Transit,2025-12-19 11:26:04,
SHIP-00149,149,Delivered,2026-04-02 19:19:14,2026-04-09 19:19:14
SHIP-00150,150,Delivered,2026-08-31 06:30:13,2026-09-03 06:30:13
SHIP-00151,151,Delivered,2026-02-27 06:26:07,2026-03-07 06:26:07
SHIP-00152,152,Delivered,2025-10-25 16:55:02,2025-10-29 16:55:02
SHIP-00153,153,Delivered,2026-03-16 03:26:01,2026-03-18 03:26:01
SHIP-00154,154,In Transit,2026-01-04 11:38:21,
SHIP-00155,155,In Transit,2026-03-22 00:20:28,
SHIP-00156,156,Delivered,2026-03-17 21:56:35,2026-03-21 21:56:35
SHIP-00157,157,In Transit,2026-02-13 17:48:25,
SHIP-00158,158,Delivered,2025-12-26 22:59:18,2025-12-29 22:59:18
SHIP-00159,159,Delivered,2025-11-08 08:02:49,2025-11-10 08:02:49
SHIP-00160,160,Cancelled,2026-05-13 04:28:09,
SHIP-00161,161,Delivered,2026-03-29 06:36:23,2026-04-06 06:36:23
SHIP-00162,162,Cancelled,2025-11-25 17:43:04,
SHIP-00163,163,Delivered,2026-06-10 16:36:08,2026-06-17 16:36:08
SHIP-00164,164,Delivered,2025-09-16 08:58:02,2025-09-19 08:58:02
SHIP-00165,165,Delivered,2026-05-30 10:16:19,2026-06-04 10:16:19
SHIP-00166,166,Delivered,2026-05-17 00:13:26,2026-05-19 00:13:26
SHIP-00167,167,In Transit,2026-06-24 18:58:52,
SHIP-00168,168,Cancelled,2026-01-20 10:38:21,
SHIP-00169,169,In Transit,2026-04-30 20:06:09,
SHIP-00170,170,Delivered,2026-06-27 04:50:29,2026-07-05 04:50:29
SHIP-00171,171,Delivered,2026-08-24 15:58:55,2026-08-30 15:58:55
SHIP-00172,172,In Transit,2026-03-01 08:17:51,
SHIP-00173,173,In Transit,2025-09-14 22:52:14,
SHIP-00174,174,In Transit,2026-03-03 21:19:45,
SHIP-00175,175,Delivered,2026-04-04 23:44:44,2026-04-10 23:44:44
SHIP-00176,176,Cancelled,2026-07-15 01:56:59,
SHIP-00177,177,Cancelled,2026-07-17 17:18:30,
SHIP-00178,178,In Transit,2026-02-08 05:59:02,
SHIP-00179,179,Delivered,2026-03-12 12:43:35,2026-03-18 12:43:35
SHIP-00180,180,Delivered,2026-02-15 07:41:14,2026-02-20 07:41:14
SHIP-00181,181,Delivered,2026-05-23 07:08:05,2026-05-31 07:08:05
